,WRMSSE,MAE,sMAPE
LightGBM (Tuned),0.7130716297694666,1.0108357152767202,139.33548825061322
Hybrid Ensemble (LGBM+LSTM),0.7210103750310425,1.0260151793132424,139.44771089009927
Random Forest,0.7424659214299504,1.0725473399573953,139.31409798356594
LSTM (Deep Learning),0.7487926767391773,1.0631014108657837,141.09859466552734
Naive,0.9119,1.1699,132.11
Seasonal Naive,0.9284,1.1963,133.59
